seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label
99.0,0.3333333333333333,140440,1000000,24475,92275,272227,598026,73521,57055,28054,1000000,1000000,1000000,410515,34062,51472,107436,65264,695907,8766,20334,71520,38771,86562,385050,36892,25833,70435,241873,27627,48840,328129,477478,25.44,42.59,100098_3746_0700406,2021-07-08 22:17:31.487,71.5298354323323,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
102.0,0.3333333333333333,140459,1000000,24489,92328,272353,597066,73490,57063,28043,1000000,1000000,1000000,410321,34067,51516,107528,65248,696253,8761,20336,71510,38774,86581,385085,36883,25824,70421,241945,27639,48862,327693,476132,25.411543215569615,42.59025720259494,100098_3746_0700406,2021-07-08 22:17:34.487,71.01286012974678,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
105.0,0.3333333333333333,140455,1000000,24478,92202,272145,599289,73484,57062,28040,1000000,1000000,1000000,409979,34068,51520,107533,65202,696089,8764,20333,71524,38772,86556,384950,36885,25850,70421,241926,27621,48843,327803,476685,25.47757451131545,42.6,100098_3746_0700406,2021-07-08 22:17:37.487,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
108.0,0.3333333333333333,140474,1000000,24492,92240,272467,597636,73472,57059,28051,1000000,1000000,1000000,410157,34059,51509,107545,65238,695270,8758,20331,71520,38767,86568,384832,36875,25826,70403,241996,27621,48863,327560,477337,25.441033418931124,42.6,100098_3746_0700406,2021-07-08 22:17:40.487,73.05167094655611,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
111.0,0.3333333333333333,140491,1000000,24479,92248,272447,598743,73449,57063,28060,1000000,1000000,1000000,410444,34067,51556,107529,65254,695841,8760,20332,71522,38772,86560,384869,36859,25805,70422,242019,27609,48844,327282,476970,25.451243579483556,42.6,100098_3746_0700406,2021-07-08 22:17:43.487,74.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
114.0,0.3333333333333333,140428,1000000,24473,92242,272512,598184,73488,57067,28052,1000000,1000000,1000000,410395,34066,51554,107522,65211,695575,8763,20332,71520,38775,86576,384967,36879,25830,70413,241811,27615,48857,327937,477208,25.444963953613712,42.60624098840343,100098_3746_0700406,2021-07-08 22:17:46.487,74.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
117.0,0.3333333333333333,140543,1000000,24473,92279,272564,598519,73428,57067,28057,1000000,1000000,1000000,410400,34068,51563,107498,65235,694984,8764,20336,71528,38770,86570,385320,36892,25824,70430,241880,27631,48861,327559,476111,25.459238681800198,42.6,100098_3746_0700406,2021-07-08 22:17:49.487,74.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
120.0,0.3333333333333333,140417,1000000,24476,92255,272803,599565,73458,57069,28050,1000000,1000000,1000000,410250,34065,51525,107529,65216,695512,8761,20329,71527,38775,86579,385016,36876,25833,70409,241864,27639,48852,328155,476756,25.4590628234212,42.6045314117106,100098_3746_0700406,2021-07-08 22:17:52.487,74.77342941446997,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
123.0,0.3333333333333333,140406,1000000,24473,92215,272286,599406,73443,57072,28061,1000000,1000000,1000000,410163,34065,51562,107622,65241,695620,8760,20336,71533,38773,86577,385048,36878,25818,70421,241778,27623,48860,327263,477464,25.448448096057444,42.601068857634466,100098_3746_0700406,2021-07-08 22:17:55.487,74.31551903942557,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
126.0,0.3333333333333333,140532,1000000,24467,92182,272463,597364,73453,57066,28057,1000000,1000000,1000000,410330,34068,51592,107592,65286,695760,8758,20332,71521,38769,86650,384887,36862,25842,70410,241795,27639,48842,326786,477774,25.462785200010686,42.61,100098_3746_0700406,2021-07-08 22:17:58.487,74.13926000053418,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
129.0,0.3333333333333333,140474,1000000,24487,92197,272437,599396,73519,57067,28052,1000000,1000000,1000000,410399,34067,51488,107598,65278,695241,8760,20332,71528,38771,86609,385066,36910,25868,70399,241782,27628,48854,326357,476818,25.47,42.59807414990023,100098_3746_0700406,2021-07-08 22:18:01.487,74.40370749501126,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
132.0,0.3333333333333333,140414,1000000,24459,92274,272341,599369,73497,57065,28059,1000000,1000000,1000000,410326,34067,51495,107604,65300,695206,8753,20332,71543,38772,86612,384991,36857,25830,70404,241691,27651,48871,327360,476663,25.448904959156035,42.60945247957802,100098_3746_0700406,2021-07-08 22:18:04.487,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
135.0,0.3333333333333333,140356,1000000,24456,92091,272827,599792,73434,57063,28054,1000000,1000000,1000000,410529,34066,51493,107457,65221,695670,8761,20335,71534,38771,86553,385156,36881,25828,70428,241817,27622,48857,326768,476994,25.459773661814573,42.6,100098_3746_0700406,2021-07-08 22:18:07.487,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
138.0,0.3333333333333333,140285,1000000,24465,92276,272806,599543,73460,57075,28071,1000000,1000000,1000000,410334,34067,51527,107545,65262,695820,8757,20340,71533,38769,86631,385036,36904,25809,70429,241744,27644,48870,327084,477613,25.459273105618433,42.61,100098_3746_0700406,2021-07-08 22:18:10.487,75.46365528092169,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,1d5786e9-7c74-4ce2-99ee-c5abf8fabc91,baseline
