seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label
69.0,0.3333333333333333,150194,1000000,265063,131614,154951,11450,124970,71582,61713,1000000,771959,1000000,444445,12116,77833,89224,940309,56768,326216,55740,257364,54221,80216,433128,41684,232586,45750,19243,381016,1000000,434602,1000000,25.45,36.92461855722809,100084_3681_0700302,2021-07-08 22:17:06.628,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
72.0,0.3333333333333333,150108,1000000,265104,131840,154928,11446,125016,71588,61695,1000000,771943,1000000,444605,12114,77863,89239,941180,56753,325696,55736,257495,54231,80210,433251,41668,232823,45733,19244,381242,1000000,434541,1000000,25.457443300007988,36.923721650004,100084_3681_0700302,2021-07-08 22:17:09.628,73.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
75.0,0.3333333333333333,150249,1000000,265182,131621,154884,11449,124979,71582,61702,1000000,772089,1000000,444763,12114,77758,89192,939389,56746,325726,55720,257409,54222,80204,433146,41686,232543,45727,19245,380988,1000000,434525,1000000,25.45475257682547,36.91475257682547,100084_3681_0700302,2021-07-08 22:17:12.628,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
78.0,0.3333333333333333,150306,1000000,264956,131768,154778,11446,124983,71579,61694,1000000,772323,1000000,444768,12113,77867,89257,943373,56722,325624,55725,257507,54235,80216,433316,41674,232227,45717,19239,381749,1000000,434583,1000000,25.472927834139327,36.92,100084_3681_0700302,2021-07-08 22:17:15.628,72.28659792674159,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
81.0,0.3333333333333333,150250,1000000,265227,131900,154830,11446,124953,71612,61726,1000000,772212,1000000,444620,12114,77853,89244,940745,56718,325576,55735,257467,54240,80188,433249,41684,232561,45738,19239,381738,1000000,434493,1000000,25.433322998164854,36.92333850091757,100084_3681_0700302,2021-07-08 22:17:18.628,72.66692504587864,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
84.0,0.3333333333333333,150096,1000000,265272,131863,154931,11445,124992,71597,61725,1000000,771909,1000000,444516,12115,77858,89248,936569,56746,325890,55737,257359,54246,80172,433569,41684,232563,45703,19246,381802,1000000,434545,1000000,25.426927834139327,36.92230927804644,100084_3681_0700302,2021-07-08 22:17:21.628,72.61546390232212,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
87.0,0.3333333333333333,150448,1000000,265203,131557,154744,11446,125029,71603,61730,1000000,772272,1000000,444655,12115,77896,89256,941913,56738,325857,55725,257413,54239,80186,433329,41693,232300,45746,19245,382772,1000000,434570,1000000,25.43723711218577,36.93,100084_3681_0700302,2021-07-08 22:17:24.628,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
90.0,0.3333333333333333,150168,1000000,265080,131951,154794,11445,124991,71585,61730,1000000,772230,1000000,444950,12116,77620,89250,943596,56776,325826,55729,257372,54247,80193,433143,41668,232530,45693,19244,381230,1000000,434679,1000000,25.480402062197754,36.94,100084_3681_0700302,2021-07-08 22:17:27.628,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
93.0,0.3333333333333333,150262,1000000,265141,131768,154901,11446,124934,71591,61768,1000000,772210,1000000,444844,12114,77922,89254,944498,56745,325606,55726,257339,54247,80183,433026,41684,232425,45703,19244,381067,1000000,434693,1000000,25.46068041219376,36.93931958780624,100084_3681_0700302,2021-07-08 22:17:30.628,71.9659793903121,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
96.0,0.3333333333333333,149971,1000000,265094,132002,154826,11444,125050,71584,61725,1000000,772080,1000000,445082,12113,77764,89280,941185,56738,325666,55721,257407,54244,80174,433080,41687,232577,45696,19241,381979,1000000,434559,1000000,25.48360165146102,36.92840041286526,100084_3681_0700302,2021-07-08 22:17:33.628,71.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
99.0,0.3333333333333333,150229,1000000,265159,131819,154737,11447,124992,71548,61736,1000000,771980,1000000,444871,12110,77765,89239,939969,56700,325531,55719,257423,54242,80192,432990,41709,232424,45723,19245,382432,1000000,434657,1000000,25.46,36.92,100084_3681_0700302,2021-07-08 22:17:36.628,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
102.0,0.3333333333333333,150400,1000000,265146,131766,154796,11446,124991,71573,61738,1000000,772052,1000000,444955,12111,77824,89224,942094,56739,325801,55717,257471,54246,80178,433227,41671,232187,45732,19243,382137,1000000,434654,1000000,25.461731958534834,36.92,100084_3681_0700302,2021-07-08 22:17:39.628,72.58659792674159,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
105.0,0.3333333333333333,150367,1000000,265217,131565,154816,11445,124975,71581,61755,1000000,771759,1000000,445059,12116,77879,89228,940070,56757,325809,55721,257327,54250,80209,433142,41675,232487,45711,19241,382241,1000000,434689,1000000,25.453192586974293,36.908795057982864,100084_3681_0700302,2021-07-08 22:17:42.628,73.71987644957152,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
108.0,0.3333333333333333,150477,1000000,264989,131696,154821,11446,124986,71550,61773,1000000,771909,1000000,444911,12114,77829,89244,941281,56713,325698,55723,257418,54252,80206,433217,41686,232250,45732,19244,381823,1000000,434637,1000000,25.44,36.93531958780624,100084_3681_0700302,2021-07-08 22:17:45.628,74.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
111.0,0.3333333333333333,150352,1000000,265338,131807,154914,11446,124984,71568,61679,1000000,772098,1000000,444943,12114,77812,89230,940340,56708,325865,55711,257339,54243,80200,433240,41689,232192,45764,19244,381917,1000000,434644,1000000,25.458722965210285,36.932481976806855,100084_3681_0700302,2021-07-08 22:17:48.628,74.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
114.0,0.3333333333333333,150149,1000000,265112,131690,154761,11443,124968,71589,61678,1000000,772232,1000000,444877,12113,77935,89282,938679,56727,326228,55711,257444,54240,80214,433036,41685,232600,45780,19245,381721,1000000,434676,1000000,25.47203125221189,36.92,100084_3681_0700302,2021-07-08 22:17:51.628,74.36718753686486,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
117.0,0.3333333333333333,150634,1000000,265135,131624,154735,11446,125012,71584,61718,1000000,772403,1000000,444813,12113,77830,89224,945390,56701,325528,55706,257345,54198,80197,433028,41651,232226,45713,19245,381900,1000000,434531,1000000,25.463298970744567,36.92,100084_3681_0700302,2021-07-08 22:17:54.628,74.08247426861416,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
120.0,0.3333333333333333,150575,1000000,265107,131720,154792,11442,125026,71552,61666,1000000,771718,1000000,444866,12113,77891,89254,940751,56740,325812,55717,257382,54224,80238,433278,41680,232293,45764,19244,382380,1000000,434481,1000000,25.506391756124838,36.91072164877503,100084_3681_0700302,2021-07-08 22:17:57.628,74.53608243875162,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
123.0,0.3333333333333333,150167,1000000,265075,131814,154885,11448,124940,71604,61691,1000000,772159,1000000,444836,12116,77862,89264,941352,56735,325259,55727,257374,54209,80228,433589,41671,232255,45747,19247,381719,1000000,434539,1000000,25.430310880521784,36.92015544026089,100084_3681_0700302,2021-07-08 22:18:00.628,74.00777201304459,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
126.0,0.3333333333333333,150350,1000000,265019,131858,154764,11448,124935,71589,61731,1000000,772372,1000000,444794,12115,77834,89209,937478,56740,325800,55733,257384,54218,80225,433465,41671,232546,45723,19246,382021,1000000,434615,1000000,25.45,36.92134020732584,100084_3681_0700302,2021-07-08 22:18:03.628,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,ec82e0c3-6fb4-4816-8917-84ae770817ec,baseline
