seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,temperature,humidity,sensor_module_id,timestamp_ms,tvoc,dataset,device_id,run_name,trial_id,session_id,label,filename
93.0,0.3333333333333333,642488,1000000,241279,230427,252709,18343,344061,4345,68004,1000000,121609,1000000,578859,14122,76331,257311,73887,42359,790424,35923,201909,28255,112571,18773,24764,141464,55219,18506,60260,167750,534675,1000000,25.306956522168367,36.9,100091_3806_0700309,2021-07-08 22:17:18.200,72.5,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
96.0,0.3333333333333333,643054,1000000,241329,230765,252536,18345,343508,4350,68012,1000000,121654,1000000,578824,14121,76297,257474,73869,42346,789900,35918,201903,28250,112587,18771,24761,141446,55246,18503,60297,167737,534800,1000000,25.301425640539083,36.9,100091_3806_0700309,2021-07-08 22:17:21.200,72.78564101347713,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
99.0,0.3333333333333333,642229,1000000,241291,230475,252671,18345,343627,4342,68044,1000000,121662,1000000,578791,14120,76379,257349,73825,42350,790595,35918,201921,28252,112585,18775,24764,141507,55240,18506,60266,167602,534855,1000000,25.315398773290298,36.8948670755699,100091_3806_0700309,2021-07-08 22:17:24.200,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
102.0,0.3333333333333333,641713,1000000,240663,230397,252604,18344,343783,4347,68043,1000000,121641,1000000,578473,14118,76359,257356,73891,42353,790223,35915,201891,28251,112573,18772,24761,141614,55258,18508,60245,167676,535036,1000000,25.278374485879343,36.88810699596553,100091_3806_0700309,2021-07-08 22:17:27.200,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
105.0,0.3333333333333333,641237,1000000,241187,230911,252585,18344,343708,4347,68014,1000000,121638,1000000,578661,14121,76310,257434,73874,42332,790159,35911,201910,28251,112600,18770,24761,141430,55181,18507,60247,167717,534788,1000000,25.24645962754381,36.8867701862281,100091_3806_0700309,2021-07-08 22:17:30.200,72.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
108.0,0.3333333333333333,641489,1000000,241160,230645,252556,18350,343828,4346,67978,1000000,121660,1000000,578689,14125,76353,257278,73974,42344,790393,35919,201947,28251,112598,18779,24765,141478,55218,18507,60267,167659,534897,1000000,25.284687816859392,36.89,100091_3806_0700309,2021-07-08 22:17:33.200,71.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
111.0,0.3333333333333333,640666,1000000,241033,230548,252927,18344,343816,4343,68020,1000000,121659,1000000,578669,14122,76361,257305,73938,42357,789723,35919,201905,28250,112590,18773,24768,141573,55252,18501,60256,167644,534875,1000000,25.29360656042056,36.891598359894864,100091_3806_0700309,2021-07-08 22:17:36.200,71.92008200525693,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
114.0,0.3333333333333333,640718,1000000,240680,230451,252626,18352,343512,4345,68051,1000000,121659,1000000,578733,14125,76366,257145,73884,42327,789437,35911,201924,28249,112594,18778,24769,141506,55223,18507,60261,167574,534935,1000000,25.30080000058688,36.9,100091_3806_0700309,2021-07-08 22:17:39.200,72.45999997065618,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
117.0,0.3333333333333333,642938,1000000,240947,230640,252560,18347,343537,4344,67968,1000000,121622,1000000,578598,14126,76309,257287,73949,42332,790701,35915,201929,28254,112618,18779,24766,141524,55258,18513,60234,167717,534848,1000000,25.27001025566788,36.89998974433212,100091_3806_0700309,2021-07-08 22:17:42.200,73.49948721660587,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
120.0,0.3333333333333333,642503,1000000,240807,230586,252530,18347,343695,4345,67999,1000000,121651,1000000,578733,14124,76328,257202,73836,42338,789991,35926,201889,28257,112619,18771,24761,141481,55188,18505,60254,167641,534751,1000000,25.28853909279289,36.89926954639645,100091_3806_0700309,2021-07-08 22:17:45.200,74.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
123.0,0.3333333333333333,641811,1000000,241343,230551,252361,18346,343734,4349,67949,1000000,121642,1000000,578716,14125,76362,257107,73887,42352,790013,35925,201903,28256,112601,18777,24771,141497,55211,18503,60293,167423,534819,1000000,25.29685071460977,36.90157464269512,100091_3806_0700309,2021-07-08 22:17:48.200,74.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
126.0,0.3333333333333333,641083,1000000,241169,230841,252578,18346,343473,4351,67951,1000000,121645,1000000,578776,14119,76250,257167,73931,42333,789624,35924,201835,28253,112598,18777,24762,141397,55262,18505,60244,167558,534865,1000000,25.26,36.91,100091_3806_0700309,2021-07-08 22:17:51.200,74.11475410636989,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
129.0,0.3333333333333333,643560,1000000,240992,230896,252616,18348,343795,4347,67972,1000000,121592,1000000,578715,14120,76355,257434,73953,42348,790577,35923,201850,28254,112594,18775,24763,141323,55229,18503,60288,167462,534803,1000000,25.28303278670504,36.89606557341008,100091_3806_0700309,2021-07-08 22:17:54.200,74.34836066474809,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
132.0,0.3333333333333333,642227,1000000,240925,230336,252572,18348,343669,4348,67947,1000000,121581,1000000,578813,14122,76334,257397,73876,42349,790216,35922,201859,28256,112576,18775,24762,141497,55221,18508,60267,167495,534879,1000000,25.263882596400546,36.89,100091_3806_0700309,2021-07-08 22:17:57.200,74.80587017997289,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
135.0,0.3333333333333333,642678,1000000,241157,230615,252566,18344,343659,4345,67968,1000000,121612,1000000,578347,14120,76321,257397,73879,42347,788981,35918,201918,28253,112604,18779,24762,141402,55239,18506,60251,167454,534900,1000000,25.31062951371461,36.894685243142696,100091_3806_0700309,2021-07-08 22:18:00.200,74.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
138.0,0.3333333333333333,641498,1000000,241141,230799,252552,18350,343878,4345,68028,1000000,121614,1000000,578659,14122,76342,257575,73949,42367,790018,35920,201875,28251,112580,18774,24759,141492,55166,18503,60238,167641,535083,1000000,25.30196721207356,36.89901639396322,100091_3806_0700309,2021-07-08 22:18:03.200,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
141.0,0.3333333333333333,640879,1000000,241131,230920,252715,18345,343599,4347,68021,1000000,121596,1000000,578597,14120,76348,257394,73889,42344,788991,35913,201900,28257,112599,18772,24764,141652,55203,18505,60214,167503,535003,1000000,25.29383110682454,36.89,100091_3806_0700309,2021-07-08 22:18:06.200,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
144.0,0.3333333333333333,640299,1000000,240865,230272,252747,18344,343615,4346,68023,1000000,121592,1000000,578546,14121,76350,257302,73948,42339,789643,35922,201899,28257,112557,18776,24761,141279,55158,18502,60228,167612,535057,1000000,25.292988741616,36.89,100091_3806_0700309,2021-07-08 22:18:09.200,75.85056291920002,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
147.0,0.3333333333333333,641920,1000000,240897,230676,252678,18343,343889,4348,67985,1000000,121586,1000000,578990,14124,76322,257305,73944,42315,789494,35912,201905,28259,112564,18778,24775,141487,55227,18506,60275,167636,535055,1000000,25.3112192571892,36.88448770287568,100091_3806_0700309,2021-07-08 22:18:12.200,75.0,IAF-NOZE-NO,,20210708_1834_no_noze_1_3trials,2,b77b2ee9-04f3-41c8-8413-11555d34c4d9,baseline,IAF_2107082215_100091_5d34c4d9
